,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
20,-0.6854167,0.15509024,-0.32038426,0.4065342,-0.31494695,0.3388358,-0.2465662,-0.01912088,-0.33569282,-0.011447376,-0.09845433,-0.6804876,0.42525715,0.4976452,-0.038428556,-0.23770721,0.6194201,-0.008155999,-0.20519172,0.51949173,-0.29763556,0.20305233,0.018456535,0.7165137,-0.18065126,-0.80216414,-0.60780996,0.02944044,-0.030487662,-0.40636936
21,-0.39170262,0.20259412,-0.4454589,-0.37727433,-0.08260262,0.37846276,-0.22480153,0.074212156,0.3770668,-0.51021624,-0.053424,-0.109645426,0.45783338,-0.21487935,-0.1082773,-0.024289226,0.22481611,-0.13264847,-0.030821461,0.5458623,-0.6091959,0.21882759,-0.011013834,-0.30190632,-0.3834564,0.6408572,-0.064175926,0.35119832,0.16460356,0.400488
22,0.28226283,0.40292352,-0.13528085,0.63543576,-0.2274059,0.15969358,-0.080185026,0.067102216,-0.55083567,-0.01601303,0.15857235,-0.6852769,0.39503595,0.26006252,0.036541518,-0.18608855,0.4230402,-0.17402364,-0.0490387,0.4883159,-0.22499703,-0.44242623,0.3087846,0.31671673,0.29408172,-0.19005255,-0.18064007,-0.17188393,-0.29470474,-0.09018625
23,-0.25023708,0.17797896,-0.24860415,0.5389215,-0.18570964,0.07554998,-0.075663924,-0.22614408,-0.20097141,0.35329708,-0.11402433,-0.4375166,0.08999585,0.372871,0.06365901,0.030065773,0.42459756,-0.09963239,0.054458145,0.31792292,-0.011248229,-0.050806854,0.092301026,-0.07347576,-0.37827745,-0.46531534,0.43119437,0.3193868,0.20237927,-0.00069783936
24,-0.49711472,-0.14225416,0.0038410586,-0.36465526,-0.3979417,-0.024770178,-0.50387734,-0.0415547,-0.25413054,-0.24888755,-0.0884241,-0.11669714,0.48773393,-0.08981993,-0.328013,-0.41217282,-0.3056544,0.25840533,0.17224821,0.08541095,-0.41486365,0.47997147,-0.28999612,0.3125461,-0.3166228,0.28071302,0.30564594,-0.49775213,0.42276406,0.50015134
25,0.7694277,0.6400077,0.043291964,0.42162678,-0.15152046,-0.11997406,0.5882042,0.19836588,0.096836135,0.32479045,0.31685883,-0.50842,-0.2269714,-0.10189441,0.08865618,0.33401993,-0.1061311,0.2679834,-0.09164828,-0.027586604,0.39355773,-0.4258716,0.3777351,-0.28201413,0.54305273,0.21992224,-0.46601206,0.3670152,-0.62804884,0.5345736
26,-0.55873317,-0.1485272,-0.39034596,-0.019484697,-0.5622073,-0.032966796,-0.2090642,-0.032695405,-0.22418948,-0.182799,-0.028819801,-0.40379384,0.2707783,-0.51506853,-0.21119048,-0.11420534,0.0020741655,0.23120466,-0.062075432,0.009658182,-0.4298731,0.6548016,-0.3699104,0.38193503,-0.6548368,-0.68588823,-0.5517847,-0.4418988,0.33577272,-0.31643978
27,0.0957619,0.17642139,-0.03439217,0.47754148,-0.03003865,-0.040301107,0.32873085,-0.02625005,-0.22277942,0.45186687,0.13560104,-0.28669974,-0.14410591,0.31331983,0.052791882,0.09174659,0.4521545,0.07997381,-0.26693538,0.23030277,0.23234531,-0.36404893,0.12691277,0.01719004,0.08759497,-0.37755212,0.24362127,0.6304131,-0.21568136,0.18735088
28,-0.03905751,-0.010199531,0.0066054733,0.28875735,0.24360812,0.33438677,-0.16658734,-0.18783197,-0.3935771,-0.38149896,0.20752458,-0.21995409,0.5772524,0.4566905,0.008540895,-0.60334104,0.44071433,-0.3153479,-0.54673755,0.71267277,-0.3369674,0.115738146,-0.058842793,0.5896925,-0.07917037,-0.123824246,0.42875186,-0.02086219,0.22663268,0.3864387
29,0.40716255,0.12030082,0.045956977,0.34065738,-0.55403274,-0.17521963,-0.19055058,-0.07786486,0.18624717,-0.07839228,-0.20008606,-0.46488547,-0.07773868,-0.22240843,-0.53540176,-0.021133315,-0.38056692,0.19375138,0.16738729,-0.30058488,0.11279151,0.6405535,-0.35741344,0.20875047,0.6976802,0.36860973,0.22681619,-0.40732208,0.45152664,0.2235888
30,0.64959437,-0.48690295,0.15927054,0.02510801,-0.07222281,-0.32041863,0.0081362715,-0.35404453,-0.2541993,-0.053241458,-0.26728964,0.08787917,0.2799248,0.46692303,-0.17950216,-0.19070163,0.490394,-0.07587537,-0.3994603,0.2068486,0.24022168,-0.032588936,-0.14970735,-0.027057238,0.71639645,-0.08070404,0.40866905,0.6261325,0.36781666,0.536113
31,0.68766344,0.53357404,0.16959678,0.5208012,-0.23000805,0.09319911,0.08214467,-0.31118208,0.12111908,-0.089060746,-0.05365275,-0.5780352,-0.20304674,0.095374376,-0.12989695,-0.13377357,-0.2914842,-0.4496135,-0.029028144,0.22721677,0.053503018,-0.35296866,0.21904774,-0.102053605,0.44719863,0.4749283,0.26535743,0.4352677,0.07281843,0.7355604
32,-0.47972673,0.13148783,-0.21215875,0.42032367,-0.6176622,-0.1286722,-0.37758812,-0.21690893,0.21659544,0.66565526,-0.28934893,-0.45557794,-0.24488272,-0.3593626,-0.05215997,0.16749868,-0.43616396,0.25261632,0.5617787,-0.18367559,0.04039422,0.65578604,-0.22069323,-0.22539715,-0.2636384,-0.49790317,0.40333176,-0.24853262,0.63012564,0.05762852
33,-0.3113667,0.31368536,0.029069897,-0.005892467,-0.28220814,-0.2889613,0.2623245,0.22293893,0.36314183,0.30849996,0.056081273,-0.42565438,-0.253236,-0.010117371,0.11209026,0.25178543,-0.10870161,0.5089154,0.06915041,-0.18332534,0.35692134,-0.17557164,0.20890376,-0.5045404,0.3368521,0.35230115,-0.27387416,0.6381795,-0.39993984,0.6038257
34,-0.6189588,0.32607305,-0.1452212,0.13483049,-0.36629406,0.34779176,-0.25741142,0.12991354,0.28113443,-0.22392972,0.23989496,-0.6062379,0.25456992,-0.5066895,-0.02321708,0.26906776,-0.07031282,0.18386187,-0.13086808,0.42246395,-0.4811977,-0.11772785,0.4408493,0.39362404,-0.4898449,-0.23078991,-0.864142,0.08128575,-0.8072636,0.21260567
35,-0.7172493,0.07349152,-0.25967854,0.3665576,-0.30626428,0.3858087,-0.3160214,0.013088668,-0.33273628,0.018689115,-0.19432974,-0.6306699,0.3729771,0.5249957,-0.025652649,-0.26776773,0.51377404,0.07199298,-0.16498138,0.53704005,-0.30972484,-0.07399074,-0.021795858,0.77985066,-0.19562149,-0.7834918,0.034682013,0.026166106,-0.15470989,-0.23471849
36,-0.37248984,0.31699437,-0.43203568,-0.41397402,-0.17358413,0.3498171,-0.23299119,-0.020272538,0.5963722,-0.60421526,-0.27247706,-0.29301292,0.010618266,-0.51486486,-0.03635875,0.15358712,-0.2387021,-0.060616057,0.3596318,0.42391986,-0.51464427,0.2938306,0.017854083,-0.42421257,-0.6461674,0.70640594,0.09291072,0.37219128,0.051018134,0.8106472
37,-0.7110086,-0.009502311,-0.09603973,0.38050264,-0.6422076,-0.14979023,-0.6525499,0.015485096,-0.51497865,0.042788908,-0.34605387,-0.59416705,0.4529364,-0.288519,-0.050336216,-0.28940442,-0.34820893,0.389543,0.16938715,-0.06888566,-0.5016047,0.48344067,-0.3120662,0.552087,-0.51445246,-0.106852025,0.20471092,-0.61528546,0.032077286,0.078693256
38,-0.24602215,0.19098197,-0.023228891,0.560875,-0.13940005,-0.07430329,0.3440569,0.0004908391,-0.18020791,0.6409007,0.085714675,-0.41503987,-0.20499508,0.20355219,0.2450917,0.08117182,0.1968621,0.33741495,-0.119163975,0.18322667,0.2550597,-0.468552,0.19333649,0.12691377,0.028927457,-0.4995759,0.38514784,0.52948153,-0.37349895,0.21613209
