sub_id,session,block,trial,left_stim_id,right_stim_id,left_pwin,right_pwin,chosen_stim_id,choice_side,reward,rt,QL,QR,Q_chosen,UncL,UncR,dQ,dUnc
48,0,0,16,79,82,0.35,0.2,79,0,1,-593092.696086179,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.025510204081632654,0.05555555555555555,0.04761904761904767,-0.0300453514739229
48,0,0,17,78,82,0.8,0.2,78,0,1,-593100.413236605,0.7142857142857143,0.4,0.7142857142857143,0.025510204081632654,0.04,0.3142857142857143,-0.014489795918367347
48,0,0,18,79,80,0.35,0.6500000000000001,80,1,1,-593104.5710342444,0.75,0.5,0.75,0.020833333333333332,0.05,0.25,-0.02916666666666667
48,0,0,19,79,81,0.35,0.5,81,1,0,-593109.9585750003,0.4,0.5,0.4,0.04,0.05,-0.09999999999999998,-0.010000000000000002
48,0,0,20,81,82,0.5,0.2,81,0,1,-593115.4154327931,0.5,0.5,0.5,0.03571428571428571,0.05,0.0,-0.01428571428571429
48,0,1,0,84,85,0.8,0.6500000000000001,85,1,1,-593148.1979278922,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,1,1,84,88,0.8,0.5,84,0,0,-593152.6774228862,0.5,0.5714285714285714,0.5714285714285714,0.08333333333333333,0.030612244897959183,-0.0714285714285714,0.052721088435374146
48,0,1,2,84,85,0.8,0.6500000000000001,85,1,1,-593161.8668347901,0.5,0.625,0.625,0.08333333333333333,0.026041666666666668,-0.125,0.05729166666666666
48,0,1,3,84,85,0.8,0.6500000000000001,85,1,1,-593166.6937998101,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.01728395061728395,0.024691358024691357,0.2222222222222222,-0.007407407407407408
48,0,1,4,84,85,0.8,0.6500000000000001,85,1,1,-593171.615589973,0.5,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.05555555555555555,-0.16666666666666663,0.027777777777777776
48,0,1,5,84,88,0.8,0.5,88,1,1,-593176.7785281973,0.7777777777777778,0.5,0.5,0.01728395061728395,0.05,0.2777777777777778,-0.03271604938271605
48,0,1,6,84,88,0.8,0.5,88,1,1,-593182.8943107178,0.7777777777777778,0.6,0.6,0.01728395061728395,0.02181818181818182,0.1777777777777778,-0.004534231200897871
48,0,1,7,84,88,0.8,0.5,88,1,0,-593188.1269198147,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,1,8,84,88,0.8,0.5,84,0,1,-593192.1571213001,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,1,9,84,88,0.8,0.5,88,1,1,-593195.2568398741,0.5,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.05555555555555555,-0.16666666666666663,0.027777777777777776
48,0,1,10,85,88,0.6500000000000001,0.5,88,1,1,-593201.0815284781,0.5,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.05555555555555555,-0.16666666666666663,0.027777777777777776
48,0,1,11,86,87,0.2,0.35,87,1,1,-593207.8066407926,0.5,0.75,0.75,0.08333333333333333,0.0375,-0.25,0.04583333333333333
48,0,1,12,84,87,0.8,0.35,87,1,0,-593217.4259533595,0.5,0.75,0.75,0.08333333333333333,0.0375,-0.25,0.04583333333333333
48,0,1,13,84,85,0.8,0.6500000000000001,84,0,1,-593222.3762949554,0.5,0.8,0.8,0.08333333333333333,0.02666666666666667,-0.30000000000000004,0.05666666666666666
48,0,1,14,85,86,0.6500000000000001,0.2,85,0,0,-593227.6842831158,0.5,0.8,0.8,0.08333333333333333,0.02666666666666667,-0.30000000000000004,0.05666666666666666
48,0,1,15,86,88,0.2,0.5,86,0,0,-593231.9133778649,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.031746031746031744,0.031746031746031744,0.0,0.0
48,0,1,16,84,87,0.8,0.35,87,1,0,-593239.427259885,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,0,1,17,85,88,0.6500000000000001,0.5,85,0,0,-593243.2695499485,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.031746031746031744,0.025510204081632654,-0.04761904761904767,0.006235827664399091
48,0,1,18,85,87,0.6500000000000001,0.35,85,0,1,-593244.1414845076,0.625,0.6666666666666666,0.625,0.026041666666666668,0.05555555555555555,-0.04166666666666663,-0.029513888888888885
48,0,1,19,84,85,0.8,0.6500000000000001,84,0,1,-593257.7926541134,0.5,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.031746031746031744,-0.16666666666666663,0.051587301587301584
48,0,1,20,84,88,0.8,0.5,88,1,1,-593262.6336048996,0.5714285714285714,0.5,0.5,0.030612244897959183,0.08333333333333333,0.0714285714285714,-0.052721088435374146
48,0,1,21,86,88,0.2,0.5,86,0,0,-593271.1974428722,0.5,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.05555555555555555,0.16666666666666669,0.027777777777777776
48,0,2,0,90,94,0.2,0.8,94,1,1,-593304.7339521608,0.5,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.022222222222222223,-0.16666666666666663,0.0611111111111111
